ticker,SWIndustry1,SWIndustry2,SWIndustry3
002565.SZ,801140.SI,801141.SI,851421.SI
002566.SZ,801150.SI,801155.SI,851521.SI
002567.SZ,801010.SI,801014.SI,850141.SI
002568.SZ,801120.SI,801123.SI,851233.SI
002569.SZ,801130.SI,801132.SI,851322.SI
002570.SZ,801120.SI,801124.SI,851243.SI
002571.SZ,801140.SI,801142.SI,851433.SI
002572.SZ,801140.SI,801142.SI,851432.SI
002573.SZ,801160.SI,801162.SI,851641.SI
002574.SZ,801140.SI,801142.SI,851434.SI
002575.SZ,801140.SI,801142.SI,851435.SI
002576.SZ,801730.SI,801731.SI,850741.SI
002577.SZ,801750.SI,801101.SI,851021.SI
002578.SZ,801050.SI,801055.SI,850551.SI
002579.SZ,801080.SI,801083.SI,850822.SI
002580.SZ,801730.SI,801733.SI,857335.SI
002581.SZ,801150.SI,801152.SI,851531.SI
002582.SZ,801120.SI,801124.SI,851244.SI
002583.SZ,801770.SI,801102.SI,851012.SI
002584.SZ,801030.SI,801034.SI,850339.SI
002585.SZ,801140.SI,801141.SI,851421.SI
002586.SZ,801720.SI,801723.SI,857233.SI
002587.SZ,801080.SI,801084.SI,850832.SI
002588.SZ,801030.SI,801034.SI,850381.SI
002589.SZ,801150.SI,801154.SI,851541.SI
002590.SZ,801880.SI,801093.SI,850921.SI
002591.SZ,801760.SI,801751.SI,852243.SI
002592.SZ,801880.SI,801093.SI,850921.SI
002593.SZ,801720.SI,801724.SI,857241.SI
002594.SZ,801880.SI,801094.SI,850911.SI
002595.SZ,801890.SI,801074.SI,850727.SI
002596.SZ,801710.SI,801713.SI,850614.SI
002597.SZ,801030.SI,801034.SI,850339.SI
002598.SZ,801890.SI,801072.SI,850716.SI
002599.SZ,801140.SI,801141.SI,851421.SI
002600.SZ,801080.SI,801085.SI,850852.SI
002601.SZ,801030.SI,801034.SI,850339.SI
002602.SZ,801760.SI,801752.SI,852221.SI
002603.SZ,801150.SI,801155.SI,851521.SI
002604.SZ,NaN,NaN,NaN
002605.SZ,801140.SI,801142.SI,851435.SI
002606.SZ,801730.SI,801734.SI,857344.SI
002607.SZ,801760.SI,801761.SI,852244.SI
002608.SZ,801160.SI,801161.SI,851611.SI
002609.SZ,801750.SI,801222.SI,852226.SI
002610.SZ,801160.SI,801161.SI,851615.SI
002611.SZ,801880.SI,801093.SI,850921.SI
002612.SZ,801130.SI,801132.SI,851323.SI
002613.SZ,801890.SI,801074.SI,850727.SI
002614.SZ,801110.SI,801111.SI,851114.SI
002615.SZ,801140.SI,801142.SI,851433.SI
002616.SZ,801160.SI,801161.SI,851615.SI
002617.SZ,801730.SI,801733.SI,857333.SI
002618.SZ,801080.SI,801083.SI,850822.SI
002619.SZ,801760.SI,801752.SI,852222.SI
002620.SZ,801720.SI,801722.SI,857221.SI
002621.SZ,801760.SI,801761.SI,852244.SI
002622.SZ,801730.SI,801734.SI,857342.SI
002623.SZ,801710.SI,801712.SI,850611.SI
002624.SZ,801760.SI,801752.SI,852222.SI
002625.SZ,801880.SI,801093.SI,850921.SI
002626.SZ,801150.SI,801151.SI,851511.SI
002627.SZ,801170.SI,801172.SI,851721.SI
002628.SZ,801720.SI,801723.SI,857232.SI
002629.SZ,801020.SI,801024.SI,850241.SI
002630.SZ,801730.SI,801733.SI,857334.SI
002631.SZ,801140.SI,801142.SI,851432.SI
002632.SZ,801030.SI,801034.SI,850339.SI
002633.SZ,801890.SI,801072.SI,850712.SI
002634.SZ,801130.SI,801132.SI,851327.SI
002635.SZ,801080.SI,801085.SI,850852.SI
